,label,text
800000,1,loveguysthe best
800001,1,im meeting one besties tonight cant wait girl talk
800002,1,thanks twitter add sunisagot meet athin show dc area weresweetheart
800003,1,sick really cheap hurts much eat real food plus friends make soup
800004,1,effect everyone
800005,1,tell thatjust burst laughing really loud thanks making come sulk
800006,1,thans response ihad already find answer
800007,1,jealous hope hadgreat time vegas like acmlove show
800008,1,ah congrats mr fletcher finally joining twitter
800009,1,responded stupid cat helping type forgive errors
800010,1,crazy day school hours straiiight watch hills told ha happy birthday jb
800011,1,didforget two andhalf menlove show
800012,1,haha donworry get hang
800013,1,leastwonbe one feeling lost may cause many later usual nights already addicting
800014,1,make sure dm postlink video lt lol gt sodonmiss better get permission blessing first
800015,1,added tweetie new iphone
800016,1,really donknowthink globe yeah sana gumaling na ko para alam ko na din kung makakasama ako
800017,1,picture sweet
800018,1,catching emails rss random bacn thenm cutting early tonight pm dinner
800019,1,dancing around room pjs jamming ipod getting dizzy well twitter asked
800020,1,didnplace peeps contest thanks voting anyways
800021,1,going bed goodnight everyone sweet dreams
800022,1,walking put deposit tomorrow
800023,1,followinq shud tha
800024,1,meant add back quot twittering fromtoilet cubicle somewhere quot
800025,1,awm holding new puppy well henot mine hea cutie
800026,1,kitteh sleepin crotch proves likes
800027,1,agreed
800028,1,reaching amritsar hour iffindbus wagah border pm
800029,1,thinking tonight let first interview refamous super star
800030,1,happy spend time family
800031,1,finally going bed tired gonna watch hills didnt
800032,1,effing tired throat hurting ooooohhjust gotcrazy craving forpina colada banana slushie
800033,1,upload di indowebster dong banggggg
800034,1,welcome glad enjoyed
800035,1,hahaha omg wer laughin offhook cuz das rolll ryt sheldawg
800036,1,awww pookie feel betterll pray bag nurse
800037,1,yay foundnew cuddle buddy
800038,1,thinkmet first quot snob quot twitter tonight bad life goes
800039,1,across universe sleep rehearsal tomorrow
800040,1,dry sweet potato huh
800041,1,hi jon great hear see cruisecannot wait hope well knight bus loved
800042,1,havinglong conversation mom phone
800043,1,yayyy loljust requested herrr say
800044,1,practicing lines mannerisms voices upcoming feature shoot probably driving brock crazy
800045,1,going go read new moon rd timecant get enough twilight series
800046,1,today two month anniversarylove sooooooo much diana omg dont even know tar heels ncaa woot
800047,1,bored
800048,1,iswallpaper red squarewas asking
800049,1,thanks response ihad already find answer
800050,1,well yeahonly noticed cuzm bb
800051,1,tryna get inspired thats
800052,1,canget early enough night workouts much better
800053,1,canwait see ur hot ass austin woot woot annnd love bob purplewent royal color way well
800054,1,gotbunch buffy songs one faves quot vivian quot nerf herder faith met spike buffybody
800055,1,devunity wallpaper check gt
800056,1,morning tweetlandlong day ahead hope everyone hasgreat day
800057,1,uploading pictures friendster
800058,1,aw dont love thatlove days thanks pic p
800059,1,noodlebox amanda tonight
800060,1,sorrrym like different things kevin jonas girlfriend
800061,1,serious singing like whoa hehe lsd maybek lolol
800062,1,loving life loving
800063,1,love sicilians best damn pizza planet says
800064,1,loves chocolate milk gf yeah
800065,1,going sutter creek tomorrow tour old mine
800066,1,look chopersonally like strawberry butm going become coach soon
800067,1,guess wherelive side earth east mesa losiento
800068,1,apart sore tryouts
800069,1,failed physics test whathomo keeen holidays days go
